Company,Product,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_euros
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,AMD,Radeon 530,800
Dell,Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,Full HD,1920,1080,No,No,No,Intel,1.9,Core i7 8650U,256,256,SSD,SSD,Intel,UHD Graphics 620,1298
HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 930MX,896
Chuwi,"LapBook 15.6""",Notebook,15.6,4,Windows 10,1.89,Full HD,1920,1080,No,No,No,Intel,1.44,Atom x5-Z8300,64,0,Flash Storage,No,Intel,HD Graphics,244.99
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14,2,Windows 10,1.65,Standard,1366,768,No,No,No,AMD,1.5,E-Series E2-6110,32,0,Flash Storage,No,AMD,Radeon R2,199
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,Windows 10,2.71,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,500,0,HDD,No,AMD,Radeon 530,439
Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.2,Quad HD+,3200,1800,Yes,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,1869
Apple,MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,Standard,1440,900,No,No,No,Intel,1.6,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,998
Lenovo,IdeaPad 120S-14IAP,Notebook,14,4,Windows 10,1.44,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,64,0,Flash Storage,No,Intel,HD Graphics 500,249
Acer,Aspire 3,Notebook,15.6,4,Linux,2.1,Standard,1366,768,No,No,No,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Intel,HD Graphics 620,367
Dell,Inspiron 5770,Notebook,17.3,8,Windows 10,2.8,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530,979
HP,250 G6,Notebook,15.6,4,Windows 10,1.86,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,488.69
HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 930MX ,879
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4,Linux,2,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 620,389
Dell,Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1060,1499
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8,Linux,2.3,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 940MX,522.99
Acer,Aspire A515-51G,Notebook,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,682
Dell,Inspiron 7773,2 in 1 Convertible,17.3,12,Windows 10,2.77,Full HD,1920,1080,Yes,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 150MX,999
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,Standard,2560,1600,No,Yes,Yes,Intel,2,Core i5,256,0,SSD,No,Intel,Iris Graphics 540,1419
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,No OS,2.2,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,369
Asus,Rog Strix,Gaming,17.3,8,Windows 10,3.2,Full HD,1920,1080,No,No,No,AMD,3,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580,1299
Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430,639
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4,Windows 10,2.8,Standard,1366,768,No,No,No,Intel,1.1,Pentium Quad Core N4200,1024,0,HDD,No,Nvidia,GeForce 920MX,466
Lenovo,Yoga Book,2 in 1 Convertible,10.1,4,Android,0.69,Standard,1920,1200,Yes,Yes,No,Intel,1.44,Atom x5-Z8550,64,0,Flash Storage,No,Intel,HD Graphics 400,319
Acer,Aspire A515-51G,Notebook,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce MX150,841
HP,255 G6,Notebook,15.6,4,Windows 10,1.86,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,256,0,SSD,No,AMD,Radeon R4 Graphics,398.49
HP,ProBook 430,Notebook,13.3,8,Windows 10,1.49,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,1103
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.4,Standard,1366,768,No,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Intel,HD Graphics 620,384
Dell,Inspiron 3576,Notebook,15.6,8,Windows 10,2.13,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 520,767.8
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4,Windows 10,1.91,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,439
Asus,VivoBook Max,Notebook,15.6,4,Windows 10,2,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,586.19
MSI,GS73VR 7RG,Gaming,17.3,16,Windows 10,2.43,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1070,2449
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4,Linux,2,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,Intel,HD Graphics 520,415
Dell,Inspiron 5770,Notebook,17.3,16,Windows 10,2.8,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530,1299
Dell,Vostro 5471,Ultrabook,14,8,Windows 10,1.7,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,879
Lenovo,IdeaPad 520S-14IKB,Notebook,14,8,No OS,1.7,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i3 7130U,256,0,SSD,No,Intel,HD Graphics 620,599
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14,8,Windows 10,1.4,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,941
HP,250 G6,Notebook,15.6,8,Windows 10,1.86,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,690
Asus,ZenBook Pro,Ultrabook,15.6,16,Windows 10,1.8,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050 Ti,1983
HP,250 G6,Notebook,15.6,4,Windows 10,1.86,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,AMD,Radeon 520,438.69
HP,Stream 14-AX040wm,Notebook,14,4,Windows 10,1.44,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,32,0,SSD,No,Intel,HD Graphics 400,229
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4,Windows 10,1.9,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,549
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12,Linux,3,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050 Ti,949
Microsoft,Surface Laptop,Ultrabook,13.5,4,Windows 10 S,1.252,Standard,2256,1504,Yes,No,No,Intel,2.5,Core i5 7200U,128,0,SSD,No,Intel,HD Graphics 620,1089
Dell,Inspiron 5370,Ultrabook,13.3,8,Windows 10,1.4,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,955
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,870
MSI,GL72M 7RDX,Gaming,17.3,8,Windows 10,2.7,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,1095
Acer,Aspire E5-475,Notebook,14,8,Windows 10,2.1,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,389
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,949
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,No OS,2.2,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620,519
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,128,1024,SSD,HDD,Intel,UHD Graphics 620,855
Acer,Aspire A515-51G-32MX,Notebook,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Nvidia,GeForce MX130,530
HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 930MX,977
Dell,Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,1096.16
Apple,"MacBook 12""",Ultrabook,12,8,macOS,0.92,Standard,2304,1440,No,Yes,Yes,Intel,1.3,Core i5,512,0,SSD,No,Intel,HD Graphics 615,1510
HP,ProBook 440,Notebook,14,8,Windows 10,1.63,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,HD Graphics 620,860
Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,128,0,SSD,No,AMD,R4 Graphics,399
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,1024,0,HDD,No,AMD,Radeon R5,395
Dell,Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,1349
HP,Pavilion 15-CK000nv,Ultrabook,15.6,8,Windows 10,1.83,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce GTX 940MX,699
HP,250 G6,Notebook,15.6,8,Windows 10,1.96,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,598.99
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16,Windows 10,2.2,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060,1449
Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,1649
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8,Windows 10,2.45,Full HD,1920,1080,No,No,No,AMD,3,FX 9830P,1024,0,HDD,No,AMD,Radeon RX 560,699
Acer,Aspire 5,Notebook,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,1024,0,HDD,No,Nvidia,GeForce MX150,689
HP,Probook 430,Notebook,13.3,16,Windows 10,1.49,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,1197
Dell,Inspiron 7577,Gaming,15.6,8,Windows 10,2.65,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,256,0,SSD,No,Nvidia,GeForce GTX 1060,1195
Asus,Zenbook UX430UA,Ultrabook,14,8,Windows 10,1.25,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,1049
Acer,Spin 5,2 in 1 Convertible,13.3,8,Windows 10,1.5,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,847
Dell,Inspiron 3567,Notebook,15.6,8,Linux,2.2,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,1024,0,HDD,No,AMD,Radeon R5 M430,599.9
Dell,Inspiron 3567,Notebook,15.6,4,Linux,2.2,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430,485
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,6,Windows 10,2,Full HD,1920,1080,No,No,No,Intel,2.4,Core i3 7100U,256,0,SSD,No,Nvidia,GeForce 920M,577
HP,Omen 15-ce007nv,Gaming,15.6,12,Windows 10,2.62,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,1249
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,8,Windows 10,1.91,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon 530,719
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,4,Windows 10,2.1,Full HD,1920,1080,No,No,No,AMD,1.5,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2,349
Dell,Inspiron 3576,Notebook,15.6,8,Linux,2.2,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,AMD,Radeon 520,647
HP,Envy 13-ad009n,Ultrabook,13.3,8,Windows 10,1.38,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce MX150,1119
Microsoft,Surface Laptop,Ultrabook,13.5,8,Windows 10 S,1.252,Standard,2256,1504,Yes,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,1340
HP,Pavilion 14-BK001nv,Notebook,14,6,Windows 10,1.58,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX,659
Lenovo,Ideapad 310-15ISK,Notebook,15.6,4,Windows 10,1.85,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,414.9
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14,8,Windows 10,1.3,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce 940MX,1193
MSI,GP62M 7REX,Gaming,15.6,16,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,1299
Lenovo,Thinkpad T470,Notebook,14,8,Windows 10,1.58,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,1480
Asus,VivoBook S15,Ultrabook,15.6,16,Windows 10,1.5,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,1024,SSD,HDD,Nvidia,GeForce MX150,1262
Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.23,Quad HD+,3200,1800,Yes,No,No,Intel,2.4,Core i7 7560U,256,0,SSD,No,Intel,Iris Plus Graphics 640,1379
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,8,Windows 10,1.37,Full HD,1920,1080,Yes,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,1399
HP,Probook 440,Notebook,14,4,Windows 10,1.63,Standard,1366,768,No,Yes,No,Intel,1.6,Core i5 8250U,500,0,HDD,No,Intel,UHD Graphics 620,722
Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,1629
HP,Spectre x360,2 in 1 Convertible,13.3,8,Windows 10,1.26,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,1398.99
HP,Probook 440,Notebook,14,8,Windows 10,1.63,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,1084
Dell,Inspiron 7570,Notebook,15.6,8,Windows 10,2.16,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,1024,SSD,HDD,Nvidia,GeForce 940MX,1130.33
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,4,Windows 10,2,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Nvidia,GeForce 920MX,564
Asus,VivoBook S15,Notebook,15.6,8,Windows 10,1.7,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce 940MX,1118
Acer,Spin 3,Notebook,15.6,6,Windows 10,2.1,Full HD,1920,1080,Yes,Yes,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Intel,HD Graphics 620,479
MSI,GS63VR 7RG,Gaming,15.6,16,Windows 10,1.8,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1070,2241.5
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,No OS,2.2,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX,629
HP,Probook 470,Notebook,17.3,16,Windows 10,2.5,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Nvidia,GeForce 930MX ,1271
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,256,0,SSD,No,AMD,Radeon R5,451
HP,250 G6,Notebook,15.6,4,No OS,1.86,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics 400,259
HP,Probook 440,Notebook,14,8,Windows 10,1.63,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Intel,UHD Graphics 620,812
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14,4,Windows 10 S,1.65,Standard,1366,768,No,No,No,AMD,1.5,E-Series 6110,64,0,SSD,No,AMD,Radeon R2,277.99
Dell,Inspiron 5770,Notebook,17.3,16,Windows 10,2.8,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530,1396
HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,928
Dell,Inspiron 5567,Notebook,15.6,8,Windows 10,2.36,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,AMD,Radeon R7 M445,638.99
Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,AMD,Radeon R5 M430,449
Acer,Swift 3,Ultrabook,14,8,Windows 10,1.6,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,884
Acer,Aspire A515-51G-37JS,Notebook,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.7,Core i3 7130U,256,0,SSD,No,Nvidia,GeForce MX130,572
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,8,Windows 10,2.05,Standard,1366,768,No,No,No,Intel,2.7,Core i7 7500U,1024,0,HDD,No,Intel,HD Graphics 620,598
HP,Probook 440,Notebook,14,8,Windows 10,1.63,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,988
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,4,No OS,1.9,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500,252.36
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,8,Windows 10,3,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,938
